127.0.0.1 - - [13/Sep/2023:16:44:30 +0900] "GET / HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:35 +0900] "GET / HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /Main.say HTTP/1.1" 200 8855
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/normalize.css-master/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/jquery-ui-1.13.2.custom/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/nprogress/nprogress.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/css/bootstrap-4.6.2/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/animate.css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/iCheck/skins/flat/green.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/google-code-prettify/src/prettify.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/select2/dist/css/select2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/starrr/dist/starrr.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/css/dataTables/jquery.dataTables.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/bootstrap-daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/switchery/dist/switchery.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/css/Calendar/calendar.js.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/build/css/custom.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/js/jQuery-3.7.1/jquery-3.7.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/Main/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/jquery-ui-1.13.2.custom/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/nprogress/nprogress.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/js/bootstarp-4.6.2/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/iCheck/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/fastclick/lib/fastclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/js/datatables/jquery.dataTables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/bootstrap-wysiwyg/js/bootstrap-wysiwyg.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/bootstrap-progressbar/bootstrap-progressbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/bootstrap-daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/moment/min/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/jquery.hotkeys/jquery.hotkeys.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/google-code-prettify/src/prettify.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/jquery-sparkline/dist/jquery.sparkline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/Flot/jquery.flot.pie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/Flot/jquery.flot.time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/Flot/jquery.flot.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/Flot/jquery.flot.stack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/flot-spline/js/jquery.flot.spline.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/flot.curvedlines/curvedLines.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/Flot/jquery.flot.resize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/flot.orderbars/js/jquery.flot.orderBars.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/switchery/dist/switchery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/DateJS/build/date.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/Parsley.js-2.9.2/dist/parsley.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/select2/dist/js/select2.full.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/jquery.tagsinput/src/jquery.tagsinput.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/autosize/dist/autosize.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/devbridge-autocomplete/dist/jquery.autocomplete.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/build/js/custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/Main/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:36 +0900] "GET /assets/vendors/starrr/dist/starrr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:43 +0900] "GET /Exercise.say HTTP/1.1" 200 14376
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:43 +0900] "GET /assets/Exercise/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:43 +0900] "GET /assets/Exercise/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:43 +0900] "GET /images/img.jpg HTTP/1.1" 404 8855
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:43 +0900] "GET /assets/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:44 +0900] "GET /Exercise.say?c=sub2 HTTP/1.1" 200 58044
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:44 +0900] "GET /assets/Exercise/Images/choidainpic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:44 +0900] "GET /images/img.jpg HTTP/1.1" 404 8855
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:45 +0900] "GET /images/img.jpg HTTP/1.1" 404 8855
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:51 +0900] "GET /Exercise.say?c=sub2 HTTP/1.1" 200 58044
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:51 +0900] "GET /images/img.jpg HTTP/1.1" 404 8855
0:0:0:0:0:0:0:1 - - [13/Sep/2023:16:44:51 +0900] "GET /images/img.jpg HTTP/1.1" 404 8855
